index;name;artist;release_date;length;popularity;danceability;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;speechiness;tempo;time_signature;valence
467;Wanted Dead Or Alive;Bon Jovi;1986;5.144433333;74;252;0.13;252;802;0.0146;7;309;-3.976;0.0391;150.056;4;253
468;Otherside;Red Hot Chili Peppers;1999;4.256216667;78;458;0.00316;458;795;0.000202;0;0.0756;-3.265;0.0574;123.229;4;513
469;What's The Frequency, Kenneth?;R.E.M.;1994;4.006666667;55;0.4;173;0.4;915;345;2;317;-4.64;0.0306;94.804;4;742
470;"Bizarre Love Triangle - 7"" Remix";Various Artists;2020;3.752883333;5;0.67;0.0131;0.67;886;516;10;0.0577;-7.024;0.0461;118.524;4;944
471;Learn to Fly;Foo Fighters;1999;3.92155;74;465;1.83E-05;465;919;2.07E-05;4;262;-4.025;0.0408;135.997;4;537
472;Lucy In The Sky With Diamonds - Remastered 2009;The Beatles;1967;3.474433333;68;311;0.0469;311;325;0;2;139;-9.042;0.0283;65.09;1;668
473;Judith;A Perfect Circle;2000;4.1211;66;366;3.45E-05;366;894;0.17;11;267;-4.682;0.0568;82.305;3;304
474;25 or 6 to 4 - 2002 Remaster;Chicago;1970;4.83;65;604;309;604;905;0.0632;4;0.0837;-7.059;0.0578;147.448;4;723
475;Have You Ever Seen The Rain;Creedence Clearwater Revival;1970;2.668883333;78;741;0.0664;741;697;2.28E-05;0;133;-7.028;0.0277;116.109;4;774
476;Limelight;Rush;1981;4.33065;64;581;0.00197;581;854;0.0013;1;111;-8.485;0.0428;131.18;4;788
477;Breaking the Habit;Linkin Park;2003;3.281766667;58;579;108;579;849;0;4;0.0909;-5.218;0.0303;100.021;4;581
478;The Final Countdown;Europe;1986;5.172216667;76;529;0.0628;529;843;0.000827;6;0.0608;-6.908;0.0616;117.662;4;188
479;Lovesong - 2010 Remaster;The Cure;1989;3.492883333;61;611;339;611;813;898;9;224;-7.689;0.0279;140.112;4;821
480;The Hand That Feeds;Nine Inch Nails;2005;3.528;58;587;0.0172;587;0.99;0.000668;0;104;-4.496;0.0783;127.992;4;486
481;Locomotive Breath;Jethro Tull;1971;4.43355;60;0.68;417;0.68;0.53;11;11;0.0559;-13.105;0.0889;124.551;4;352
482;Love Her Madly;The Doors;1971;3.307766667;66;564;0.0573;564;587;0.00485;4;0.0416;-7.393;0.0316;147.462;4;966
483;Crossroads - Live;Cream;1968;4.307766667;61;391;413;391;756;0.0418;7;879;-11.317;0.0648;131.648;4;839
484;Desire;U2;1988;2.989333333;61;0.49;0.000212;0.49;827;0.00406;8;112;-9.481;0.0482;108.577;4;626
485;Fire - Live In Maui, 1970;Jimi Hendrix;2020;3.7171;43;302;189;302;919;416;1;406;-9.028;0.35;176.097;4;621
486;With Arms Wide Open;Various Artists;2020;4.578433333;53;413;0.00325;413;528;0.000989;0;119;-8.314;0.0305;138.914;4;143
487;Psycho;Puddle Of Mudd;2007;3.510883333;64;573;0.00473;573;897;0;1;278;-3.549;0.0553;126.034;4;463
488;Ramblin' Man;Allman Brothers Band;1989;4.808433333;70;349;462;349;692;0.00266;1;197;-11.691;0.0338;179.396;4;952
489;Shine;Collective Soul;1994;5.100666667;68;0.54;294;0.54;423;0.0884;6;152;-8.799;0.0283;150.135;4;353
490;Hound Dog;Elvis Presley;1958;2.2671;69;357;733;357;756;0.00505;0;0.76;-8.492;0.0621;174.797;4;0.95
491;Suspicious Minds;Elvis Presley;1969;4.35465;72;487;0.0422;487;382;4.74E-06;7;411;-10.889;0.0309;116.557;4;714
492;More Human Than Human;White Zombie;1995;4.479333333;60;673;0.000367;673;911;628;1;101;-6.725;0.0707;101.467;4;0.54
493;In Your Eyes - 2012 Remaster;Peter Gabriel;1986;5.506216667;55;621;0.0632;621;645;9.63E-06;2;0.0703;-9.37;0.0352;89.284;4;0.63
494;We're An American Band - Remastered 2002;Grand Funk Railroad;1973;3.45155;61;637;119;637;0.89;6.72E-05;7;103;-4.872;0.0677;127.689;4;923
495;Evil Ways;Santana;1969;3.9711;62;704;0.22;704;528;0.35;5;0.14;-13.382;0.0358;117.472;4;0.73
496;Re-Education (Through Labor);Rise Against;2008;3.70755;61;243;0.000417;243;947;3.41E-05;11;133;-3.388;102;147.586;4;338
497;The Man Who Sold The World;Nirvana;1994;4.35155;74;483;425;483;753;0.000142;1;257;-8.937;0.0832;115.102;4;0.42
498;Old Man - 2009 Remaster;Neil Young;1972;3.3691;68;702;431;702;244;0.00867;4;0.0963;-15.286;0.0355;141.317;4;444
499;Mr. Tambourine Man;The Byrds;1965;2.4911;64;456;513;456;0.47;3.76E-05;2;444;-9.564;0.0294;120.336;4;639
500;I Was Made For Lovin' You;KISS;1979;4.520666667;79;768;214;768;852;7.36E-05;4;0.0723;-6.215;38;128.373;4;867
501;Santa Monica;Everclear;1995;3.191766667;45;491;156;491;942;0;7;367;-5.333;132;100.446;4;387
502;Take on Me;a-ha;1985;3.754666667;83;573;18;573;902;0.00125;6;0.0928;-7.638;54;84.412;4;876
503;Crying;Roy Orbison;1962;2.774433333;61;0.35;758;0.35;293;8.21E-06;2;104;-9.502;0.0258;96.685;4;162
504;Rebel Rebel - 2016 Remaster;David Bowie;1974;4.5791;75;635;209;635;686;0.0176;9;282;-15.648;53;125.988;4;464
505;The Wind Cries Mary;Jimi Hendrix;1967;3.34555;64;499;348;499;495;0.0286;5;0.2;-10.508;0.0501;80.086;4;339
506;Tainted Love;Soft Cell;1981;2.564;68;542;558;542;0.45;6.43E-06;7;579;-9.931;0.0361;144.437;4;626
507;Somewhere I Belong;Linkin Park;2003;3.56555;70;451;0.00038;451;951;2.39E-06;1;261;-3.754;0.0645;162.065;4;442
508;Brothers in Arms;Dire Straits;1985;6.99;52;0.22;503;0.22;0.44;862;8;0.12;-9.456;0.0352;79.095;4;0.13
509;Can't Help Falling In Love (Elvis Presley cover);Various Artists;2011;2.812433333;16;0.5;506;0.5;428;0;0;129;-5.916;0.0285;110.939;1;0.18
510;Twist And Shout - Remastered 2009;The Beatles;1963;2.5871;74;482;641;482;849;7.74E-06;2;0.0414;-9.198;0.0452;124.631;4;937
511;Megalomaniac;Incubus;2004;4.913333333;56;532;0.0056;532;943;0.000587;7;317;-4.549;0.0512;140.042;4;371
512;Blowin' in the Wind;Bob Dylan;1963;2.7571;70;0.38;914;0.38;0.0993;2.32E-05;2;0.0605;-20.567;0.0509;174.874;4;0.44
513;China Grove;The Doobie Brothers;1973;3.2551;67;623;319;623;0.91;0.000448;9;81;-8.448;0.0384;145.624;4;745
514;Goodbye Yellow Brick Road - Remastered 2014;Elton John;1973;3.213766667;58;559;446;559;473;0.00141;5;154;-7.712;0.0279;121.227;4;397
515;Low Rider;War;1975;3.192666667;60;811;0.0823;811;647;681;0;0.0572;-10.989;0.0498;139.787;4;0.99
516;So Cold - Remix;Breaking Benjamin;2004;4.557333333;61;0.49;0.00305;0.49;774;8.16E-05;0;0.12;-5.436;0.0604;153.048;4;297
517;Stuck In The Middle With You;Various Artists;2009;3.398216667;71;795;0.0934;795;564;0.000531;7;0.0631;-10.482;0.0392;124.166;4;961
518;Maybellene;Chuck Berry;1959;2.387333333;56;756;735;756;768;0;0;182;-10.701;112;118.208;4;783
519;Blinded By The Light;Manfred Mann's Earth Band;1976;7.13555;62;456;291;456;696;0.000207;5;0.0853;-10;0.0653;142.156;4;508
520;Monkey Wrench;Foo Fighters;1997;3.858;69;401;1.83E-05;401;953;2.56E-05;4;149;-4.276;0.0752;174.217;4;555
521;Jamming;Bob Marley & The Wailers;1977;3.516666667;73;934;102;934;467;3.98E-05;11;109;-10.99;307;123.583;4;0.73
522;Sharp Dressed Man - 2008 Remaster;ZZ Top;1983;4.300433333;73;601;0.000359;601;859;0.00124;5;0.0871;-5.263;0.0276;125.145;4;446
523;Hungry Heart;Bruce Springsteen;1980;3.324216667;69;641;0.0857;641;894;9;8;157;-7.41;0.0273;109.823;4;972
524;I Am the Highway;Audioslave;2002;5.581766667;66;341;105;341;662;0;9;113;-5.023;0.0335;174.875;4;0.2
525;Long Tall Sally (The Thing);Little Richard;1957;2.123766667;62;474;755;474;608;0;5;0.0928;-5.139;0.0825;184.694;4;888
526;Just What I Needed;The Cars;1978;3.760433333;70;619;0.0152;619;579;6.40E-05;4;0.0858;-9.307;0.0473;127.224;4;0.69
527;Folsom Prison Blues;Johnny Cash;1957;2.809233333;56;754;691;754;0.54;7.51E-05;5;0.0868;-8.326;0.0266;101.738;4;0.79
528;Woodstock;Crosby, Stills, Nash & Young;1970;3.896216667;55;458;121;458;539;0.00944;4;0.17;-12.402;0.0571;118.928;4;0.56
529;Unchained Melody;The Righteous Brothers;1965;3.63355;72;339;396;339;208;0.000519;0;0.18;-16.725;0.0308;98.54;3;288
530;Going to California - Remaster;Led Zeppelin;1971;3.536;67;503;943;503;265;45;2;0.0867;-15.913;0.0333;78.044;4;522
531;Every Little Thing She Does Is Magic;The Police;1981;4.342883333;73;558;121;558;768;0.0626;2;124;-9.997;0.0343;81.909;4;429
532;Girls Just Want to Have Fun;Cyndi Lauper;1983;3.9711;77;0.71;0.22;0.71;799;0.000602;6;349;-4.897;0.0328;120.372;4;725
533;You've Lost That Lovin' Feelin' - Single Version;The Righteous Brothers;1965;3.774216667;63;369;522;369;305;0;1;0.0579;-14.303;0.0267;94.791;4;376
534;Bawitdaba;Kid Rock;1998;4.430666667;66;551;0.00172;551;939;0.000239;11;109;-5.371;171;90.592;4;367
535;Do It Again;Steely Dan;1972;5.94555;70;682;218;682;537;3.07E-05;2;0.0556;-10.254;0.0323;124.574;4;963
536;Intergalactic - Remastered;Beastie Boys;1998;3.858216667;68;734;22;734;864;9.85E-06;2;246;-6.119;303;105.932;4;0.47
537;Listen to the Music;The Doobie Brothers;1972;3.787766667;76;645;221;645;598;3.53E-06;1;0.0721;-13.18;0.0335;105.929;4;913
538;Nothing Compares 2 U;Sinéad O'Connor;1990;4.667333333;75;511;0.0425;511;574;2.33E-05;5;105;-7.016;0.0273;119.917;4;161
539;Paralyzer;Finger Eleven;2007;3.468433333;71;644;157;644;939;0;11;233;-3.486;0.0456;106.031;4;861
540;My My, Hey Hey (Out of the Blue) - 2016 Remaster;Neil Young;1979;3.795083333;68;502;856;502;0.4;0.000375;7;333;-13.697;0.0294;127.182;4;435
541;Like a Stone;Audioslave;2002;4.899333333;76;614;0.00797;614;568;0;7;0.0997;-5.477;0.0276;107.849;4;516
542;I Walk the Line;Johnny Cash;1970;2.942216667;67;713;877;713;258;0.00606;9;0.0967;-14.59;0.0384;98.805;4;0.56
543;The Pretender;Foo Fighters;2007;4.48955;77;433;0.000917;433;959;0;9;28;-4.04;0.0431;172.984;4;365
544;Long Road To Ruin;Foo Fighters;2007;3.748;59;401;0.000367;401;888;0;0;0.12;-3.793;0.0401;146.781;4;365
545;(Sittin' On) the Dock of the Bay;Otis Redding;1968;2.72925;74;769;684;769;367;1.62E-05;2;81;-11.226;0.0312;103.621;4;535
546;Sheena Is a Punk Rocker - 2017 Remaster;Ramones;1977;2.832;59;0.42;0.0981;0.42;965;0.000335;0;0.0784;-1.986;0.0403;176.243;4;846
547;Get Off Of My Cloud - Mono Version;The Rolling Stones;1965;2.918;55;579;0.0289;579;877;571;4;0.0656;-8.83;0.0488;126.336;4;0.9
548;Shoot to Thrill;AC/DC;1980;5.290433333;73;457;0.000239;457;904;0.0879;2;396;-5.303;0.0747;141.038;4;0.48
549;Higher;Creed;1999;5.278883333;68;459;5.15E-05;459;0.83;0.00014;2;206;-6.254;0.0364;155.827;4;431
550;Inside the Fire;Disturbed;2008;3.85955;67;463;0.000233;463;962;109;7;0.0906;-6.43;0.0704;94.003;4;0.66
551;What Is and What Should Never Be - 1990 Remaster;Led Zeppelin;1969;4.732883333;57;0.34;275;0.34;472;0;9;0.0843;-12.939;0.0473;78.086;4;533
552;Truckin' - 2001 Remaster;Grateful Dead;2003;5.089333333;44;631;0.0725;631;758;0.00289;11;158;-9.938;0.0616;127.02;4;669
553;Turn The Page - Live In Detroit/1975;Bob Seger;1976;5.019766667;58;535;155;535;376;0;9;592;-10.004;0.0331;78.827;4;285
554;I Want You to Want Me;Cheap Trick;1977;3.1871;71;806;0.78;806;462;0.0134;2;0.15;-12.778;0.0298;92.726;4;736
555;Into the Mystic - 2013 Remaster;Van Morrison;1970;3.426883333;74;608;367;608;524;0.00254;8;115;-10.266;0.0309;86.204;4;797
556;Hunger Strike;Temple Of The Dog;1990;4.104433333;61;373;0.0236;373;567;3.47E-06;7;0.0916;-10.835;32;137.789;4;298
557;Hard To Handle;The Black Crowes;1990;3.134433333;69;599;0.00257;599;0.79;0.00181;4;312;-3.58;43;103.783;4;961
558;Bad - Edit;U2;1998;5.8251;58;363;0.0205;363;717;0.000637;2;93;-7.986;0.0305;98.434;4;371
559;Come On Eileen;Dexys Midnight Runners;1982;4.788433333;1;0.45;648;0.45;658;3.14E-06;2;264;-7.064;0.0472;106.799;4;781
560;We're Not Gonna Take It;Twisted Sister;1984;3.6611;73;502;0.0127;502;924;0;4;162;-6.299;0.0503;149.186;4;922
561;Stinkfist;TOOL;1996;5.202;65;286;0.000174;286;728;837;0;133;-6.608;0.0616;171.454;4;467
562;Semi-Charmed Life;Third Eye Blind;1997;4.472666667;75;0.64;0.00832;0.64;864;0;7;123;-6.576;0.0315;102.026;4;0.7
563;Surrender;Cheap Trick;1978;4.228883333;69;524;0.00717;524;955;8.77E-06;0;659;-7.081;0.0411;133.849;4;869
564;The Ocean - 1990 Remaster;Led Zeppelin;1973;4.5171;56;443;0.0533;443;555;24;4;311;-9.303;0.0474;87.982;4;755
565;Photograph;Def Leppard;1983;4.1327;66;602;0.000343;602;877;635;4;0.0551;-6.606;0.0515;123.679;4;617
566;Jessica - Live At The Oakland Coliseum/1975;Allman Brothers Band;1976;9.174966667;18;317;152;317;554;821;2;407;-14.177;0.0306;106.704;4;523
567;We Can Work It Out - Remastered 2015;The Beatles;2000;2.26155;61;378;0.0635;378;677;0;2;183;-8.63;0.0298;106.071;4;648
568;Master of Puppets (Remastered);Metallica;1986;8.589766667;67;539;0.00067;539;828;421;4;154;-9.108;35;105.25;4;562
569;Rave On;Buddy Holly;1958;1.832666667;57;566;611;566;711;6.59E-06;0;417;-6.536;0.0335;159.629;4;961
570;High And Dry;Radiohead;1995;4.291333333;72;418;0.0718;418;383;0.0177;4;0.0896;-11.782;0.0257;87.773;4;352
571;The Chain - 2004 Remaster;Fleetwood Mac;1977;4.50355;82;545;9;545;0.67;0.000822;9;0.0451;-8.81;0.0496;151.553;4;481
572;Jet - Remastered 2010;Wings;1973;4.139333333;57;504;0.0179;504;739;0.08;9;0.0949;-7.265;0.0316;128.918;4;417
573;Friday I'm in Love;The Cure;1992;3.573333333;66;526;0.000972;526;762;0.000116;0;338;-12.437;0.0342;136.203;4;505
574;All You Need Is Love - Remastered 2009;The Beatles;1967;3.839766667;66;0.4;346;0.4;0.48;3.10E-05;7;155;-7.768;0.0295;103.436;4;653
575;Lonely Boy;The Black Keys;2011;3.22755;72;356;0.00417;356;872;0.00975;2;0.0997;-7.837;68;166.3;4;607
576;American Girl;Tom Petty and the Heartbreakers;1976;3.578883333;74;0.55;448;0.55;824;0.000127;2;366;-5.988;0.0334;114.512;4;777
577;I'm On Fire;Bruce Springsteen;1984;2.598;75;0.62;589;0.62;446;0.0299;1;0.0727;-14.451;0.0347;88.591;4;868
578;Rock Lobster;Various Artists;2009;6.824;34;556;0.00107;556;849;0.00582;8;154;-8.967;0.0443;91.19;4;456
579;Love Hurts - Single Edit;Nazareth;1975;3.868666667;67;442;0.00693;442;491;0.00491;7;114;-6.598;0.0246;79.954;4;125
580;I Will Follow - Remastered 2008;U2;1980;3.6231;59;0.36;0.000347;0.36;909;3.28E-05;8;282;-6.827;0.0663;155.293;4;647
581;Day Tripper - Remastered 2015;The Beatles;2000;2.816666667;62;665;0.12;665;782;4.19E-06;6;125;-8.438;0.0307;137.453;4;731
582;Wrong Way;Sublime;1996;2.2691;65;0.69;0.0623;0.69;681;0;9;137;-5.653;0.0379;75.034;4;911
583;Faint;Linkin Park;2003;2.71;56;554;111;554;978;0;4;0.0731;-3.554;131;135.095;4;594
584;Fade To Black (Remastered);Metallica;1984;6.953766667;63;256;0.00311;256;929;201;7;0.11;-6.667;113;113.47;4;278
585;Renegades Of Funk;Rage Against The Machine;2000;4.569333333;66;651;0.00184;651;908;0.000579;2;384;-4.019;0.0577;123.851;4;769
586;Mississippi Queen;Mountain;1970;2.52155;69;581;0.0987;581;624;0;9;0.0411;-8.346;0.0777;139.714;4;637
587;I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster;Yes;1971;6.8891;54;417;0.0418;417;425;1.31E-05;4;0.0897;-11.689;62;134.917;4;498
588;Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009;The Beatles;1967;2.048216667;64;451;0.0857;451;673;0.00225;7;797;-9.115;0.0734;95.513;4;583
589;Don't You (Forget About Me);Simple Minds;1985;4.384;75;0.66;168;0.66;816;0.0181;2;0.0608;-6.61;0.0299;111.346;4;678
590;I Shot The Sheriff;Eric Clapton;1974;4.395766667;65;0.73;0.0853;0.73;639;0.00221;7;102;-11.025;0.0524;94.395;4;658
591;Fell On Black Days;Soundgarden;1994;4.7171;66;574;0.00152;574;739;0.000328;4;141;-5.745;0.0271;101.069;3;514
592;Dammit;blink-182;1997;2.756216667;64;429;0.00168;429;974;0;0;164;-5.136;0.0899;110.373;4;0.33
593;Viva La Vida;Coldplay;2008;4.03955;80;486;0.0954;486;617;3.23E-06;5;109;-7.115;0.0287;138.015;4;417
594;Rocky Mountain Way;Joe Walsh;1973;5.256666667;61;493;0.0241;493;376;792;4;102;-15.045;0.0435;86.47;4;419
595;Whipping Post;Allman Brothers Band;1969;5.290633333;57;315;329;315;0.64;341;4;0.0879;-9.256;0.0339;97.968;4;583
596;Love Shack;The B-52's;1989;5.35955;70;715;0.0325;715;817;1.61E-06;5;851;-6.227;0.0532;133.858;4;871
597;Toxicity;System Of A Down;2001;3.648883333;78;413;0.000264;413;873;0.0025;8;204;-4.151;0.0535;116.681;3;481
598;Living For The City;Stevie Wonder;2002;3.6551;55;708;256;708;538;0;11;193;-10.28;0.0686;98.233;4;651
599;Smooth (feat. Rob Thomas);Santana;1999;4.916433333;69;609;0.16;609;923;4.73E-06;9;295;-3.908;0.0338;115.996;4;961
600;Wish You Were Here;Incubus;2001;3.54555;68;246;0.000631;246;768;301;9;102;-7.48;0.0387;169.873;4;0.35
601;I Heard It Through The Grapevine - Edit;Various Artists;2019;3.884433333;50;916;103;916;627;0.00392;2;0.0588;-8.045;0.0406;117.581;4;745
602;Silent Lucidity - Remastered 2003;Queensrÿche;1990;5.796;62;462;0.0534;462;628;0.00025;7;0.12;-5.659;0.0274;140.049;4;0.0981
603;Magic Bus - Mono Edit;The Who;1979;3.377766667;42;632;0.00486;632;947;0;7;282;-5.761;0.0732;92.313;4;719
604;Don't Be Cruel;Elvis Presley;1958;2.048216667;61;697;856;697;0.55;3.44E-05;2;0.0907;-11.496;0.18;84.802;4;844
605;Take The Money And Run;Steve Miller Band;1976;2.836216667;67;565;0.0552;565;645;2.84E-06;0;151;-12.923;0.0484;99.3;4;836
606;Every Rose Has Its Thorn - Remastered 2003;Poison;1988;4.336216667;72;533;0.16;533;637;1.12E-05;6;369;-5.571;0.0323;140.167;4;292
607;It's Been Awhile;Staind;2001;4.411766667;66;509;0.00189;509;774;0.000549;6;143;-4.054;0.0338;116.529;4;0.0824
608;Pump It Up;Elvis Costello & The Attractions;1978;3.278;61;644;0.00933;644;814;0.000617;11;107;-6.036;0.0385;138.999;4;965
609;Have a Cigar;Pink Floyd;1975;5.128883333;64;454;407;454;0.65;0.0498;4;589;-10.191;0.0437;120.154;4;0.72
610;Bargain;The Who;1971;5.559766667;48;452;0.0169;452;888;0.00341;3;0.17;-7.994;54;133.883;4;336
611;Hungry Like the Wolf - 2009 Remaster;Duran Duran;1982;3.6771;72;691;0.0433;691;812;1.16E-06;0;299;-7.772;0.0558;127.568;4;685
612;Comedown - Remastered;Bush;1994;5.444433333;51;469;6.53E-05;469;803;0.00024;11;121;-5.03;0.0584;139.631;4;384
613;Street Fighting Man - 50th Anniversary Edition;The Rolling Stones;1968;3.252433333;57;583;0.1;583;855;0.0177;0;262;-7.213;0.0333;128.178;4;0.69
614;Pink Houses;John Mellencamp;1983;4.727766667;64;635;0.0514;635;795;3.08E-06;7;0.0751;-5.313;0.0269;115.23;4;628
615;B. Y. O. B. - 8-Bit System of a Down Emulation;8-Bit Arcade;2017;4.09785;12;572;0.00464;572;431;726;1;157;-8.197;0.0414;107.064;4;172
616;Lucky Man - 2012 Remastered Version;Emerson, Lake & Palmer;2016;4.62755;53;341;0.0912;341;424;0.0419;7;0.0543;-14.158;0.0294;154.627;3;565
617;Man On The Moon;R.E.M.;1992;5.236216667;68;667;0.42;667;699;0.000442;7;201;-7.574;26;118.567;4;655
618;18 and Life;Skid Row;1989;3.832666667;69;466;0.0023;466;648;1.49E-05;1;112;-11.101;28;90.435;4;305
619;When I'm Gone;3 Doors Down;2002;4.338883333;69;0.53;0.00385;0.53;768;0;7;103;-5.611;0.0284;148.095;4;374
620;"Sweet Jane - Full Length Version; 2015 Remaster";The Velvet Underground;1970;4.1051;64;619;15;619;637;0;2;374;-7.369;0.0286;105.205;4;936
621;Woman from Tokyo;Deep Purple;1973;5.810666667;38;582;0.14;582;543;0.00149;9;115;-13.045;0.0351;126.99;4;421
622;What'd I Say, Pt. 1 & 2;Ray Charles;1959;5.11755;62;0.54;808;0.54;681;0;4;162;-5.44;0.0508;88.385;4;794
623;Magic Man;Heart;1975;5.472666667;60;435;159;435;444;0.000705;7;457;-12.816;0.0336;103.818;4;734
624;Hot Blooded;Foreigner;1978;4.478216667;63;705;229;705;806;0;0;0.0676;-4.83;0.0814;117.945;4;763
625;Run to the Hills - 2015 Remaster;Iron Maiden;1982;3.891766667;71;249;0.0286;249;943;0.00401;0;162;-5.188;0.0669;173.671;4;458
626;Can't Get Enough - 2015 Remaster;Bad Company;1974;4.272666667;57;638;314;638;686;0.23;0;0.0678;-9.876;0.0366;126.045;4;766
627;Addicted To Love;Robert Palmer;1985;6.060666667;68;702;382;702;578;5.89E-06;2;0.0425;-13.415;31;111.617;4;975
628;Gloria (feat. Van Morrison) - Stereo Version;Van Morrison;2015;2.613333333;62;641;397;641;703;0.00546;9;104;-10.434;0.0518;129.118;4;722
629;Sweet Dreams (Are Made of This) - Remastered;Eurythmics;1983;3.61555;81;692;225;692;711;0;0;0.12;-7.498;0.0317;125.135;4;875
630;Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2;James Brown;1991;5.264;44;835;248;835;692;0.000161;10;295;-6.514;114;108.296;4;829
631;Love Me Two Times;The Doors;1967;3.251766667;63;684;332;684;698;5.16E-06;9;122;-6.219;41;132.846;4;839
632;God Save the Queen;Sex Pistols;1977;3.334666667;50;274;0.00103;274;908;0.00219;9;154;-5.419;0.0691;148.246;4;483
633;Hey Man Nice Shot;Filter;1995;5.240666667;65;479;0.00214;479;588;709;2;319;-10.773;0.0339;177.014;4;305
634;Young Americans - 2016 Remaster;David Bowie;1975;5.228433333;59;614;171;614;763;0;4;119;-8.949;133;84.236;4;885
635;Schism;TOOL;2001;6.72555;68;567;0.0012;567;714;0.42;9;186;-8.512;0.0302;107.438;3;191
636;Oh, Pretty Woman;Roy Orbison;1962;2.982216667;74;619;715;619;603;0;9;0.0721;-9.481;0.0342;127.432;4;958
637;In My Place;Coldplay;2002;3.778;71;424;0.0553;424;588;4.95E-06;9;298;-5.455;0.0278;144.636;4;193
638;Common People;Pulp;1995;5.860433333;69;314;0.0057;314;797;5.59E-05;0;0.0718;-9.026;38;145.393;4;569
639;Monkey Gone to Heaven;Pixies;1989;2.957766667;62;652;0.0167;652;388;0.00076;6;0.32;-12.029;0.0302;116.433;4;595
640;Whole Lotta Shakin' Going On;Jerry Lee Lewis;1969;2.885966667;46;377;812;377;615;0.000322;0;154;-8.431;0.0309;161.532;4;553
641;Panic Switch;Silversun Pickups;2009;5.731766667;58;163;0.000202;163;885;0.0121;5;228;-4.623;0.0725;198.556;3;549
642;All Day and All of the Night;The Kinks;1964;2.358433333;68;551;262;551;0.86;4.57E-06;7;0.0558;-7.839;0.0796;136.921;4;723
643;Whole Lotta Rosie;AC/DC;1977;5.563333333;66;292;0.0014;292;838;479;9;0.0953;-4.459;78;159.176;4;423
644;Just A Girl;No Doubt;1995;3.486666667;64;638;0.0662;638;906;6.88E-05;2;142;-4.824;0.0504;107.991;4;767
645;Will You Love Me Tomorrow;The Shirelles;1961;2.678216667;62;0.55;312;0.55;382;1.11E-05;0;221;-6.429;0.0263;136.128;4;464
646;Runaway Train;Soul Asylum;1992;4.4311;70;613;0.0132;613;0.72;0;0;104;-7.957;0.0425;117.341;4;561
647;Elderly Woman Behind the Counter in a Small Town (Remastered);Pearl Jam;1993;3.269766667;63;291;0.0519;291;493;9.15E-06;7;101;-9.461;28;182.032;3;183
648;No Time;The Guess Who;1971;3.6571;42;484;0.0795;484;477;5.09E-06;0;0.0548;-13.849;0.0598;128.265;4;122
649;Holy Diver;Dio;1983;5.896433333;61;476;0.0642;476;901;158;8;0.0557;-6.751;0.0975;91.955;4;109
650;Communication Breakdown - Remaster;Led Zeppelin;1969;2.503333333;50;375;144;375;956;7.60E-06;2;417;-7.078;175;175.04;4;381
651;Time of the Season - Mono Version;The Zombies;1968;3.5671;66;537;142;537;0.7;1.58E-06;4;383;-6.852;0.0366;117.111;4;695
652;Groove Is in the Heart;Deee-Lite;2005;3.8631;64;694;0.0153;694;881;0.0196;1;0.0851;-4.053;0.0701;121.554;4;924
653;Poison;Alice Cooper;1989;4.501333333;72;0.28;0.0327;0.28;908;8.85E-06;2;0.18;-5.509;109;118.698;4;0.26
654;Sexual Healing - Kygo Remix;Marvin Gaye;2015;6.1386;6;689;321;689;0.68;0.0211;0;0.0431;-7.196;0.0427;100.987;4;646
655;Spirit in the Sky;Various Artists;1979;3.993333333;37;601;112;601;643;0.00209;2;88;-5.828;0.0314;128.262;4;552
656;Cold Hard Bitch;Jet;2003;4.053333333;61;458;0.000219;458;895;0.000394;2;106;-3.972;0.0681;130.327;4;357
657;Because the Night;Patti Smith;1978;3.413333333;67;466;0.0542;466;763;0;11;119;-7.748;0.0391;123.539;4;473
658;Suffragette City - 2012 Remaster;David Bowie;1972;3.47355;58;455;364;455;884;0;2;277;-9.159;0.0385;142.655;4;784
659;Like a Hurricane - 2017 Remaster;Neil Young;1977;8.29155;54;424;0.0128;424;864;0.00215;9;149;-4.532;0.0365;113.829;4;571
660;Speed of Sound;Coldplay;2005;4.798433333;69;514;0.00488;514;898;0.0345;11;0.0746;-6.765;0.0577;123.067;4;353
661;Walking On The Moon;The Police;1979;5.013766667;65;514;0.00142;514;0.34;0.0173;0;213;-12.779;0.0537;145.992;4;269
662;Pretty Fly (For A White Guy);The Offspring;1998;3.144433333;73;723;88;723;895;0;11;0.0717;-3.707;102;143.373;4;963
663;Sloop John B - Remastered;The Beach Boys;1966;3.002216667;60;567;402;567;745;0;8;0.0873;-5.423;0.0264;125.575;4;903
664;Rock & Roll Band;Boston;1976;3.005766667;58;487;0.00343;487;838;2.92E-05;4;377;-6.153;0.0433;136.743;4;655
665;Let's Dance - 1999 Remaster;David Bowie;1983;7.618883333;3;619;0.00388;619;703;205;10;163;-9.414;0.0525;115.043;4;709
666;Don't Stop - 2004 Remaster;Fleetwood Mac;1977;3.222433333;68;672;0.0373;672;0.72;9.38E-06;9;0.0371;-7.781;35;118.731;4;828
667;Jane Says;Jane's Addiction;1988;4.783333333;66;402;0.0385;402;597;2.09E-06;2;109;-9.258;0.0327;81.806;4;496
